Vd,mdot,Ib,v_e0,eta_div,T_axial,Isp_ax,P_elec,gas,thruster_type
200.0,1e-06,0.7600309136169358,13505.8290848087,0.2558726308373678,0.0029374062166343646,352.2703383863243,253.34363787231192,Iodine,hall
200.0,1.1787686347935866e-06,0.8959006024451578,13505.8290848087,0.2558726308373678,0.003462522315816284,352.2703383863243,298.63353414838593,Iodine,hall
200.0,1.389495494373139e-06,1.0560595300550328,13505.8290848087,0.2558726308373678,0.004081512703157098,352.2703383863243,352.0198433516776,Iodine,hall
200.0,1.6378937069540647e-06,1.2448498505037275,13505.8290848087,0.2558726308373678,0.004811159156993174,352.2703383863243,414.94995016790915,Iodine,hall
200.0,1.9306977288832498e-06,1.4673899588012795,13505.8290848087,0.2558726308373678,0.0056712435112635075,352.2703383863243,489.1299862670932,Iodine,hall
200.0,2.2758459260747865e-06,1.7297132584460015,13505.8290848087,0.2558726308373678,0.0066850839713540715,352.2703383863243,576.5710861486672,Iodine,hall
200.0,2.6826957952797274e-06,2.0389317362427635,13505.8290848087,0.2558726308373678,0.007880167306393543,352.2703383863243,679.6439120809213,Iodine,hall
200.0,3.162277660168379e-06,2.403428779168199,13505.8290848087,0.2558726308373678,0.00928889405770257,352.2703383863243,801.1429263893998,Iodine,hall
200.0,3.727593720314938e-06,2.8330864608437154,13505.8290848087,0.2558726308373678,0.010949456967140319,352.2703383863243,944.3621536145719,Iodine,hall
200.0,4.393970560760786e-06,3.33955345970094,13505.8290848087,0.2558726308373678,0.01290687644088712,352.2703383863243,1113.18448656698,Iodine,hall
200.0,5.179474679231212e-06,3.9365608725118837,13505.8290848087,0.2558726308373678,0.015214221121674046,352.2703383863243,1312.1869575039614,Iodine,hall
200.0,6.105402296585327e-06,4.640294485472684,13505.8290848087,0.2558726308373678,0.017934046661043465,352.2703383863243,1546.7648284908948,Iodine,hall
200.0,7.196856730011514e-06,5.469833595680845,13505.8290848087,0.2558726308373678,0.02114009169896269,352.2703383863243,1823.277865226948,Iodine,hall
200.0,8.483428982440726e-06,6.447668280128817,13505.8290848087,0.2558726308373678,0.024919277031397534,352.2703383863243,2149.222760042939,Iodine,hall
200.0,1e-05,7.600309136169359,13505.8290848087,0.2558726308373678,0.02937406216634365,352.2703383863243,2533.4363787231196,Iodine,hall
231.57894736842104,1e-06,0.7600309136169358,14533.017261788524,0.2558726308373678,0.0031608111566619017,379.0623201609285,293.3452649047822,Iodine,hall
231.57894736842104,1.1787686347935866e-06,0.8959006024451578,14533.017261788524,0.2558726308373678,0.0037258650519786875,379.0623201609285,345.7861974349732,Iodine,hall
231.57894736842104,1.389495494373139e-06,1.0560595300550328,14533.017261788524,0.2558726308373678,0.004391932860746063,379.0623201609285,407.60192388088984,Iodine,hall
231.57894736842104,1.6378937069540647e-06,1.2448498505037275,14533.017261788524,0.2558726308373678,0.005177072702366728,379.0623201609285,480.46836335231586,Iodine,hall
231.57894736842104,1.9306977288832498e-06,1.4673899588012795,14533.017261788524,0.2558726308373678,0.006102570921595972,379.0623201609285,566.3610367303185,Iodine,hall
231.57894736842104,2.2758459260747865e-06,1.7297132584460015,14533.017261788524,0.2558726308373678,0.007193519193980724,379.0623201609285,667.6086260668777,Iodine,hall
231.57894736842104,2.6826957952797274e-06,2.0389317362427635,14533.017261788524,0.2558726308373678,0.008479494799650135,379.0623201609285,786.9561087252772,Iodine,hall
231.57894736842104,3.162277660168379e-06,2.403428779168199,14533.017261788524,0.2558726308373678,0.009995362508722908,379.0623201609285,927.6391779245681,Iodine,hall
231.57894736842104,3.727593720314938e-06,2.8330864608437154,14533.017261788524,0.2558726308373678,0.011782219818674304,379.0623201609285,1093.4719673431885,Iodine,hall
231.57894736842104,4.393970560760786e-06,3.33955345970094,14533.017261788524,0.2558726308373678,0.013888511170496647,379.0623201609285,1288.9504581301874,Iodine,hall
231.57894736842104,5.179474679231212e-06,3.9365608725118837,14533.017261788524,0.2558726308373678,0.01637134135176184,379.0623201609285,1519.374371846692,Iodine,hall
231.57894736842104,6.105402296585327e-06,4.640294485472684,14533.017261788524,0.2558726308373678,0.019298023694956097,379.0623201609285,1790.9908540420886,Iodine,hall
231.57894736842104,7.196856730011514e-06,5.469833595680845,14533.017261788524,0.2558726308373678,0.02274790504511769,379.0623201609285,2111.1638439469925,Iodine,hall
231.57894736842104,8.483428982440726e-06,6.447668280128817,14533.017261788524,0.2558726308373678,0.02681451697444757,379.0623201609285,2488.573722154982,Iodine,hall
231.57894736842104,1e-05,7.600309136169359,14533.017261788524,0.2558726308373678,0.031608111566619024,379.0623201609285,2933.452649047823,Iodine,hall
263.1578947368421,1e-06,0.7600309136169358,15492.248455108826,0.2558726308373678,0.003369436014325615,404.08179100864845,333.3468919372525,Iodine,hall
263.1578947368421,1.1787686347935866e-06,0.8959006024451578,15492.248455108826,0.2558726308373678,0.003971785490630949,404.08179100864845,392.9388607215604,Iodine,hall
263.1578947368421,1.389495494373139e-06,1.0560595300550328,15492.248455108826,0.2558726308373678,0.00468181616048403,404.08179100864845,463.18400441010203,Iodine,hall
263.1578947368421,1.6378937069540647e-06,1.2448498505037275,15492.248455108826,0.2558726308373678,0.0055187780438483115,404.08179100864845,545.9867765367226,Iodine,hall
263.1578947368421,1.9306977288832498e-06,1.4673899588012795,15492.248455108826,0.2558726308373678,0.006505362460475894,404.08179100864845,643.5920871935436,Iodine,hall
263.1578947368421,2.2758459260747865e-06,1.7297132584460015,15492.248455108826,0.2558726308373678,0.007668317226372618,404.08179100864845,758.6461659850883,Iodine,hall
