Va,Ib,Ib_eff,v_e0,eta_div,T_axial,Isp_ax,P_elec,mdot,gas,thruster_type
500.0,0.1,0.06649999999999999,27568.658175851357,0.9961995224174713,0.0024029921158364846,2799.580439192012,50.0,8.749644101123593e-08,Iodine,ion
500.0,0.13223761271250095,0.08793801245381312,27568.658175851357,0.9961995224174713,0.0031776594076517823,2799.580439192012,66.11880635625047,1.1570320480166004e-07,Iodine,ion
500.0,0.174867862159014,0.11628712833574431,27568.658175851357,0.9961995224174713,0.004202060940812918,2799.580439192012,87.433931079507,1.530031558615711e-07,Iodine,ion
500.0,0.23124108632046694,0.1537753224031105,27568.658175851357,0.9961995224174713,0.00555670507285546,2799.580439192012,115.62054316023347,2.0232772068612858e-07,Iodine,ion
500.0,0.3057876921606392,0.20334881528682508,27568.658175851357,0.9961995224174713,0.0073480541338185,2799.580439192012,152.8938460803196,2.675533476909535e-07,Iodine,ion
500.0,0.4043663440818807,0.26890361881445063,27568.658175851357,0.9961995224174713,0.009716891367383823,2799.580439192012,202.18317204094035,3.5380615971889413e-07,Iodine,ion
500.0,0.5347244000266965,0.3555917260177532,27568.658175851357,0.9961995224174713,0.012849385174095463,2799.580439192012,267.3622000133483,4.678648192420439e-07,Iodine,ion
500.0,0.7071067811865475,0.470226009489054,27568.658175851357,0.9961995224174713,0.016991720202457875,2799.580439192012,353.5533905932737,6.186932676873368e-07,Iodine,ion
500.0,0.9350611267692983,0.6218156493015833,27568.658175851357,0.9961995224174713,0.02246944515451803,2799.580439192012,467.53056338464916,8.181452072026973e-07,Iodine,ion
500.0,1.2365025114423323,0.8222741701091509,27568.658175851357,0.9961995224174713,0.029713057862079367,2799.580439192012,618.2512557211661,1.0818956905265913e-06,Iodine,ion
500.0,1.6351214022614597,1.0873557325038707,27568.658175851357,0.9961995224174713,0.039291838380697844,2799.580439192012,817.5607011307299,1.4306730331917922e-06,Iodine,ion
500.0,2.1622455073017246,1.4378932623556469,27568.658175851357,0.9961995224174713,0.051958589065489044,2799.580439192012,1081.1227536508623,1.8918878648143532e-06,Iodine,ion
500.0,2.8593018398391052,1.901435723493005,27568.658175851357,0.9961995224174713,0.06870879777930125,2799.580439192012,1429.6509199195525,2.5017873476280075e-06,Iodine,ion
500.0,3.7810724932478514,2.5144132080098207,27568.658175851357,0.9961995224174713,0.09085887390680784,2799.580439192012,1890.5362466239258,3.308303863646675e-06,Iodine,ion
500.0,5.000000000000001,3.325,27568.658175851357,0.9961995224174713,0.12014960579182424,2799.580439192012,2500.0000000000005,4.374822050561798e-06,Iodine,ion
684.2105263157895,0.1,0.06649999999999999,32249.686864281768,0.9961995224174713,0.0028110088920086274,3274.936050184556,68.42105263157895,8.749644101123593e-08,Iodine,ion
684.2105263157895,0.13223761271250095,0.08793801245381312,32249.686864281768,0.9961995224174713,0.0037172110519283325,3274.936050184556,90.4783665927638,1.1570320480166004e-07,Iodine,ion
684.2105263157895,0.174867862159014,0.11628712833574431,32249.686864281768,0.9961995224174713,0.004915551154555274,3274.936050184556,119.6464320035359,1.530031558615711e-07,Iodine,ion
684.2105263157895,0.23124108632046694,0.1537753224031105,32249.686864281768,0.9961995224174713,0.006500207498445672,3274.936050184556,158.21758537716158,2.0232772068612858e-07,Iodine,ion
684.2105263157895,0.3057876921606392,0.20334881528682508,32249.686864281768,0.9961995224174713,0.008595719217303538,3274.936050184556,209.2231577941216,2.675533476909535e-07,Iodine,ion
684.2105263157895,0.4043663440818807,0.26890361881445063,32249.686864281768,0.9961995224174713,0.011366773888431868,3274.936050184556,276.67170910865525,3.5380615971889413e-07,Iodine,ion
684.2105263157895,0.5347244000266965,0.3555917260177532,32249.686864281768,0.9961995224174713,0.015031150432490224,3274.936050184556,365.86406317616076,4.678648192420439e-07,Iodine,ion
684.2105263157895,0.7071067811865475,0.470226009489054,32249.686864281768,0.9961995224174713,0.019876834495149837,3274.936050184556,483.8099029171114,6.186932676873368e-07,Iodine,ion
684.2105263157895,0.9350611267692983,0.6218156493015833,32249.686864281768,0.9961995224174713,0.026284651419201038,3274.936050184556,639.7786656842568,8.181452072026973e-07,Iodine,ion
684.2105263157895,1.2365025114423323,0.8222741701091509,32249.686864281768,0.9961995224174713,0.03475819554655396,3274.936050184556,846.0280341447536,1.0818956905265913e-06,Iodine,ion
684.2105263157895,1.6351214022614597,1.0873557325038707,32249.686864281768,0.9961995224174713,0.04596340801270579,3274.936050184556,1118.767275231525,1.4306730331917922e-06,Iodine,ion
684.2105263157895,2.1622455073017246,1.4378932623556469,32249.686864281768,0.9961995224174713,0.06078091347730854,3274.936050184556,1479.4311365748642,1.8918878648143532e-06,Iodine,ion
684.2105263157895,2.8593018398391052,1.901435723493005,32249.686864281768,0.9961995224174713,0.08037522896724354,3274.936050184556,1956.3644167320194,2.5017873476280075e-06,Iodine,ion
684.2105263157895,3.7810724932478514,2.5144132080098207,32249.686864281768,0.9961995224174713,0.1062862839984894,3274.936050184556,2587.049600643267,3.308303863646675e-06,Iodine,ion
684.2105263157895,5.000000000000001,3.325,32249.686864281768,0.9961995224174713,0.1405504446004314,3274.936050184556,3421.052631578948,4.374822050561798e-06,Iodine,ion
868.421052631579,0.1,0.06649999999999999,36332.543154471314,0.9961995224174713,0.0031668866214518703,3689.5476186234955,86.8421052631579,8.749644101123593e-08,Iodine,ion
868.421052631579,0.13223761271250095,0.08793801245381312,36332.543154471314,0.9961995224174713,0.004187815265519531,3689.5476186234955,114.83792682927714,1.1570320480166004e-07,Iodine,ion
