Va,Ib,Ib_eff,I_CL,J_CL,tau_geom,tau_trans,tau_imp,sigma_deg,eta_div,T_ideal,T_axial,v_e0,Isp_eff,P_elec,mdot,perveance_margin,gas,thruster_type
1789.4736842105262,1.2365025114423323,0.5259495596331003,0.7909015934332336,112.9859419190334,0.7,0.95,0.6396279717302616,5.0,0.9961946980917455,0.0689522160242085,0.029217398727864788,64180.35074926159,2772.211736816738,2212.6887046862785,4.569779395414393e-07,0.6396279717302616,Krypton,ion
1789.4736842105262,1.6351214022614597,0.5259495596331003,0.7909015934332336,112.9859419190334,0.7,0.95,0.48369594596424137,5.0,0.9961946980917455,0.0911807643827799,0.029217398727864788,64180.35074926159,2096.386708707324,2926.0067198362963,4.569779395414393e-07,0.48369594596424137,Krypton,ion
1789.4736842105262,2.1622455073017246,0.5259495596331003,0.7909015934332336,112.9859419190334,0.7,0.95,0.3657778872761785,5.0,0.9961946980917455,0.12057526607279853,0.029217398727864788,64180.35074926159,1585.318023900732,3869.2814341188755,4.569779395414393e-07,0.3657778872761785,Krypton,ion
1789.4736842105262,2.8593018398391052,0.5259495596331003,0.7909015934332336,112.9859419190334,0.7,0.95,0.27660654164365456,5.0,0.9961946980917455,0.15944585337641481,0.029217398727864777,64180.35074926159,1198.8404746442204,5116.64539760682,4.569779395414393e-07,0.27660654164365456,Krypton,ion
1789.4736842105262,3.7810724932478514,0.5259495596331003,0.7909015934332336,112.9859419190334,0.7,0.95,0.20917387721224778,5.0,0.9961946980917455,0.21084739007404563,0.029217398727864784,64180.35074926159,906.5805484938923,6766.129724759313,4.569779395414393e-07,0.20917387721224778,Krypton,ion
1789.4736842105262,5.000000000000001,0.5259495596331003,0.7909015934332336,112.9859419190334,0.7,0.95,0.1581803186866467,5.0,0.9961946980917455,0.2788195551005328,0.029217398727864784,64180.35074926159,685.569354964761,8947.368421052633,4.569779395414393e-07,0.1581803186866467,Krypton,ion
1973.6842105263158,0.1,0.06649999999999999,0.9161170723708804,130.87386748155436,0.7,0.95,1.0,5.0,0.9961946980917455,0.005856382050672395,0.0038796743380048702,67402.85020509237,4551.715671461684,197.3684210526316,5.7779367665418216e-08,9.161170723708803,Krypton,ion
1973.6842105263158,0.13223761271250095,0.08793801245381312,0.9161170723708804,130.87386748155436,0.7,0.95,1.0,5.0,0.9961946980917455,0.007744339815132583,0.005130388725597165,67402.85020509237,4551.715671461684,260.99528824835716,7.640605644112775e-08,6.927810125872577,Krypton,ion
1973.6842105263158,0.174867862159014,0.11628712833574431,0.9161170723708804,130.87386748155436,0.7,0.95,1.0,5.0,0.9961946980917455,0.010240930091875041,0.006784303573600995,67402.85020509237,4551.715671461684,345.1339384717382,1.0103754500551344e-07,5.238910461076148,Krypton,ion
1973.6842105263158,0.23124108632046694,0.1537753224031105,0.9161170723708804,130.87386748155436,0.7,0.95,1.0,5.0,0.9961946980917455,0.013542361473051686,0.008971401084898845,67402.85020509237,4551.715671461684,456.39688089565846,1.3360963745860973e-07,3.9617400477926905,Krypton,ion
1973.6842105263158,0.3057876921606392,0.20334881528682508,0.9161170723708804,130.87386748155436,0.7,0.95,1.0,5.0,0.9961946980917455,0.017908095516861035,0.01186356662153365,67402.85020509237,4551.715671461684,603.5283397907353,1.76682194929093e-07,2.995925264021474,Krypton,ion
1973.6842105263158,0.4043663440818807,0.26890361881445063,0.9161170723708804,130.87386748155436,0.7,0.95,1.0,5.0,0.9961946980917455,0.023681237993771437,0.015688097282873202,67402.85020509237,4551.715671461684,798.0914685826593,2.3364031666227995e-07,2.265562121523582,Krypton,ion
